,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
13,Tim Schaller,27,C,72,10,9,19,-4,38,8,0,2,0,9,0,0,118,8.5,955,13:16,0.3,0.9,1.2,54,117,57,70,44.9
14,Sean Kuraly,25,C,72,6,8,14,-4,40,6,0,0,1,7,0,1,131,4.6,887,12:19,-0.4,0.8,0.4,20,133,318,375,45.9
15,Matt Grzelcyk,24,D,52,3,11,14,23,20,3,0,0,0,9,2,0,65,4.6,855,16:27,0.7,3.5,4.2,35,39,0,0,
16,Kevan Miller,30,D,58,1,12,13,13,66,1,0,0,0,11,0,1,49,2,1106,19:04,0.1,3.2,3.3,92,144,0,0,
17,Anders Bjork,21,LW,30,4,8,12,2,6,2,2,0,0,7,1,0,30,13.3,370,12:21,0.6,0.5,1.1,11,19,1,1,50
18,Noel Acciari,26,C,50,8,1,9,-4,2,7,0,1,0,1,0,0,55,14.5,629,12:34,0,0.5,0.5,36,130,22,27,44.9
19,Rick Nash,33,LW,11,3,3,6,-4,4,1,2,0,0,2,1,0,41,7.3,185,16:51,0.4,0,0.4,5,6,0,2,0
20,Brian Gionta,39,RW,11,2,4,6,1,0,1,1,0,1,2,2,0,27,7.4,157,14:16,0.4,0.2,0.6,5,10,5,4,55.6
21,Brandon Carlo,21,D,71,0,6,6,10,41,0,0,0,0,5,0,1,70,0,1359,19:09,-1.1,3.5,2.4,74,82,1,0,100
22,Ryan Donato,21,C,2,2,2,4,0,0,1,1,0,0,1,1,0,8,25,36,17:59,0.5,0,0.6,0,3,1,1,50
23,Austin Czarnik,25,C,10,0,4,4,-1,0,0,0,0,0,3,1,0,7,0,109,10:55,0.1,0.1,0.2,0,4,14,14,50
24,Nick Holden,30,D,10,0,4,4,-3,0,0,0,0,0,1,3,0,17,0,196,19:36,0.2,0.2,0.3,9,14,0,0,
25,Adam McQuaid,31,D,29,1,2,3,-2,49,1,0,0,1,2,0,0,26,3.8,466,16:03,-0.2,0.8,0.6,44,67,0,0,
26,Tommy Wingels,29,RW,10,1,2,3,0,2,1,0,0,0,2,0,0,10,10,123,12:19,0.1,0.1,0.2,2,17,22,20,52.4
27,Jordan Szwarz,26,RW,11,0,3,3,-3,2,0,0,0,0,2,1,0,18,0,133,12:03,-0.1,0,0,7,8,28,41,40.6
28,Frank Vatrano,23,C,25,2,0,2,-3,22,2,0,0,0,0,0,0,42,4.8,237,9:28,-0.3,0.1,-0.1,9,34,6,8,42.9
29,Peter Cehlarik,22,LW,6,1,1,2,2,2,1,0,0,0,1,0,0,3,33.3,84,13:56,0.1,0.2,0.2,3,3,2,2,50
30,Anton Khudobin,31,G,28,0,2,2,0,2,0,0,0,0,1,1,0,0,,1594,56:57:00,0,0,4.8,0,0,0,0,
31,Tuukka Rask,30,G,47,0,2,2,0,0,0,0,0,0,1,1,0,0,,2755,58:38:00,0,0,7.7,0,0,0,0,
32,Kenny Agostino,25,LW,5,0,1,1,-1,4,0,0,0,0,0,1,0,11,0,60,12:03,-0.1,0,0,1,4,0,1,0
33,Paul Postma,28,D,13,0,1,1,-2,2,0,0,0,0,1,0,0,13,0,133,10:16,-0.1,0.1,0,10,12,0,0,
34,Matt Beleskey,29,LW,14,0,0,0,-8,17,0,0,0,0,0,0,0,17,0,152,10:51,-0.4,-0.1,-0.6,4,27,2,5,28.6
35,Anton Blidh,22,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,10:23,0,0,0,0,3,0,0,
36,Colby Cave,23,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,11:15,0,0,0,1,0,3,2,60
37,Rob O'Gara,24,D,8,0,0,0,-5,0,0,0,0,0,0,0,0,2,0,88,10:59,-0.1,-0.2,-0.3,10,10,0,0,
,Team Total,,,72,237,411,648,189,683,177,52,8,42,305,98,8,2366,10,,,43.3,41.6,97.4,958,1721,2258,2210,50.5
