,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
64,3/2/2017,10:30 PM,,Toronto Maple Leafs,3,2,W,SO,31,27,6,W 1,,35,2,1,3,0,,31,6,0,1,0,"18,230",2:51,
65,3/4/2017,10:00 PM,,Vancouver Canucks,3,4,L,,31,28,6,L 1,,44,6,2,7,1,,21,14,0,2,0,"18,230",2:35,
66,3/9/2017,10:30 PM,,Nashville Predators,3,2,W,OT,32,28,6,W 1,,34,11,3,3,0,,23,11,0,2,0,"18,230",2:48,
67,3/11/2017,10:30 PM,,Washington Capitals,4,2,W,,33,28,6,W 2,,22,6,2,6,0,,19,12,1,3,0,"18,230",2:34,
68,3/13/2017,10:00 PM,,St. Louis Blues,1,3,L,,33,29,6,L 1,,39,8,0,3,0,,26,6,1,4,0,"18,230",2:37,
69,3/14/2017,10:30 PM,,Arizona Coyotes,2,3,L,SO,33,29,7,L 2,,46,6,1,3,0,,32,6,0,3,0,"18,230",3:02,
70,3/16/2017,10:30 PM,,Buffalo Sabres,2,0,W,,34,29,7,W 1,,36,9,0,2,0,,26,9,,2,,"18,230",2:26,
71,3/19/2017,9:30 PM,@,Calgary Flames,2,5,L,,34,30,7,L 1,,21,8,0,3,0,,24,8,0,3,0,"19,115",2:25,
72,3/20/2017,9:00 PM,@,Edmonton Oilers,0,2,L,,34,31,7,L 2,,35,13,0,2,0,,31,11,1,3,0,"18,347",2:27,
73,3/23/2017,10:30 PM,,Winnipeg Jets,5,2,W,,35,31,7,W 1,,36,11,3,4,1,,21,13,1,4,0,"18,230",2:31,
74,3/25/2017,10:30 PM,,New York Rangers,0,3,L,,35,32,7,L 1,,30,8,0,3,0,,20,8,1,2,0,"18,230",2:28,
75,3/28/2017,9:00 PM,@,Edmonton Oilers,1,2,L,,35,33,7,L 2,,35,11,0,1,0,,29,7,0,3,0,"18,347",2:31,
76,3/29/2017,9:00 PM,@,Calgary Flames,4,1,W,,36,33,7,W 1,,33,50,0,6,0,,26,22,0,6,0,"19,005",2:47,
77,3/31/2017,10:00 PM,@,Vancouver Canucks,2,0,W,,37,33,7,W 2,,26,4,1,1,0,,35,2,,2,,"18,865",2:21,
78,4/2/2017,10:30 PM,,Arizona Coyotes,1,2,L,,37,34,7,L 1,,35,2,1,6,0,,15,12,1,1,0,"18,230",2:36,
79,4/4/2017,10:30 PM,,Edmonton Oilers,6,4,W,,38,34,7,W 1,,27,6,0,3,0,,27,6,1,3,0,"18,230",2:28,
80,4/6/2017,10:30 PM,,Calgary Flames,1,4,L,,38,35,7,L 1,,28,4,0,3,0,,24,6,1,2,0,"18,230",2:28,
81,4/8/2017,6:00 PM,,Chicago Blackhawks,3,2,W,OT,39,35,7,W 1,,26,6,1,2,0,,27,4,0,3,0,"18,230",2:31,
82,4/9/2017,8:30 PM,@,Anaheim Ducks,3,4,L,OT,39,35,8,L 1,,18,8,1,4,0,,24,10,1,5,0,"16,564",2:38,
