,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
23,Clayton Stoner,31,D,14,1,2,3,0,28,1,0,0,0,2,0,0,16,6.3,246,17:33,0.1,0.6,0.7,17,35,0,0,
24,Jared Boll,30,RW,51,0,3,3,-3,87,0,0,0,0,3,0,0,13,0,297,5:49,-0.5,0.2,-0.3,14,68,0,1,0
25,Stefan Noesen,23,RW,12,2,0,2,2,2,2,0,0,0,0,0,0,12,16.7,79,6:33,0.2,0.2,0.4,1,10,21,34,38.2
26,Nate Thompson,32,C,30,1,1,2,4,14,1,0,0,0,1,0,0,19,5.3,312,10:23,-0.5,0.5,0,9,69,130,115,53.1
27,Michael Sgarbossa,24,C,9,0,2,2,-2,0,0,0,0,0,1,1,0,7,0,85,9:28,0,0,0,4,6,34,47,42
28,John Gibson,23,G,52,0,1,1,0,4,0,0,0,0,1,0,0,0,,2950,56:44:00,0,0,10.3,0,2,0,0,
29,Nick Sorensen,22,RW,5,0,1,1,-1,2,0,0,0,0,1,0,0,7,0,54,10:53,0,0,0,3,2,1,0,100
30,Jonathan Bernier,28,G,39,0,0,0,0,4,0,0,0,0,0,0,0,0,,1993,51:06:00,0,0,6,0,0,0,0,
31,Simon Despres,25,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,16:08,0,0,0,1,1,0,0,
32,Emerson Etem,24,LW,3,0,0,0,1,2,0,0,0,0,0,0,0,0,,26,8:48,-0.1,0.1,0,0,4,0,1,0
33,Nicolas Kerdiles,23,LW,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,11:08,0,0.1,0,2,0,1,0,100
34,Kalle Kossila,23,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6:54,0,0,0,0,1,3,4,42.9
35,Jacob Larsson,19,D,4,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,66,16:26,-0.1,0.1,0,1,1,0,0,
36,Jaycob Megna,24,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,15:20,0,0.1,0.1,0,0,0,0,
37,Mason Raymond,31,LW,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,36,8:55,-0.1,0,-0.1,0,3,0,1,0
38,Dustin Tokarski,27,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:47,0,0,0.1,,0,,,
39,Corey Tropp,27,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:28,0,0,-0.1,0,2,0,0,
,Team Total,,,82,220,364,584,96,924,164,47,9,43,265,90,9,2425,9.1,,,37.3,45.7,99.4,1148,2146,2687,2226,54.7
